release_date,state,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,location,season
2017-10-24,ak,201740,201040,365,15,1714,7,,,,,,,0.875146,0.875146,02,2010/2011
2017-10-24,al,201740,201040,365,249,11664,35,,,,,,,2.13477,2.13477,01,2010/2011
2017-10-24,ar,201740,201040,365,18,2586,15,,,,,,,0.696056,0.696056,05,2010/2011
2017-10-24,az,201740,201040,365,172,25492,49,,,,,,,0.674721,0.674721,04,2010/2011
2017-10-24,ca,201740,201040,365,632,32342,112,,,,,,,1.95412,1.95412,06,2010/2011
2017-10-24,co,201740,201040,365,134,20282,14,,,,,,,0.660684,0.660684,08,2010/2011
2017-10-24,ct,201740,201040,365,3,3831,12,,,,,,,0.0783085,0.0783085,09,2010/2011
2017-10-24,dc,201740,201040,365,73,2599,4,,,,,,,2.80877,2.80877,11,2010/2011
2017-10-24,de,201740,201040,365,4,3995,13,,,,,,,0.100125,0.100125,10,2010/2011
2017-10-24,ga,201740,201040,365,647,40314,62,,,,,,,1.6049,1.6049,13,2010/2011
2017-10-24,hi,201740,201040,365,20,1943,18,,,,,,,1.02934,1.02934,15,2010/2011
2017-10-24,ia,201740,201040,365,10,1776,6,,,,,,,0.563063,0.563063,19,2010/2011
2017-10-24,id,201740,201040,365,19,4579,12,,,,,,,0.414938,0.414938,16,2010/2011
2017-10-24,il,201740,201040,365,505,39390,74,,,,,,,1.28205,1.28205,17,2010/2011
2017-10-24,in,201740,201040,365,65,12525,44,,,,,,,0.518962,0.518962,18,2010/2011
2017-10-24,ks,201740,201040,365,39,8819,40,,,,,,,0.442227,0.442227,20,2010/2011
2017-10-24,ky,201740,201040,365,19,13293,14,,,,,,,0.142932,0.142932,21,2010/2011
2017-10-24,ma,201740,201040,365,168,27786,56,,,,,,,0.604621,0.604621,25,2010/2011
2017-10-24,md,201740,201040,365,117,8869,17,,,,,,,1.3192,1.3192,24,2010/2011
2017-10-24,me,201740,201040,365,22,6150,30,,,,,,,0.357724,0.357724,23,2010/2011
2017-10-24,mi,201740,201040,365,98,14587,47,,,,,,,0.671831,0.671831,26,2010/2011
2017-10-24,mn,201740,201040,365,38,6611,17,,,,,,,0.5748,0.5748,27,2010/2011
2017-10-24,mo,201740,201040,365,106,9621,33,,,,,,,1.10176,1.10176,29,2010/2011
2017-10-24,ms,201740,201040,365,491,16874,42,,,,,,,2.9098,2.9098,28,2010/2011
2017-10-24,mt,201740,201040,365,1,2694,7,,,,,,,0.0371195,0.0371195,30,2010/2011
2017-10-24,nat,201740,201040,365,8473,746485,1838,2627,3142,,1677,627,400,1.10939,1.13505,US,2010/2011
2017-10-24,nc,201740,201040,365,134,25215,74,,,,,,,0.53143,0.53143,37,2010/2011
2017-10-24,nd,201740,201040,365,42,6256,19,,,,,,,0.671355,0.671355,38,2010/2011
2017-10-24,ne,201740,201040,365,61,2773,13,,,,,,,2.19978,2.19978,31,2010/2011
2017-10-24,nh,201740,201040,365,3,3951,21,,,,,,,0.0759301,0.0759301,33,2010/2011
2017-10-24,nj,201740,201040,365,163,7040,23,,,,,,,2.31534,2.31534,34,2010/2011
2017-10-24,nm,201740,201040,365,160,7505,23,,,,,,,2.13191,2.13191,35,2010/2011
2017-10-24,nv,201740,201040,365,175,10499,30,,,,,,,1.66683,1.66683,32,2010/2011
2017-10-24,oh,201740,201040,365,29,12705,36,,,,,,,0.228257,0.228257,39,2010/2011
2017-10-24,ok,201740,201040,365,19,3044,17,,,,,,,0.624179,0.624179,40,2010/2011
2017-10-24,or,201740,201040,365,37,6711,20,,,,,,,0.551334,0.551334,41,2010/2011
2017-10-24,pa,201740,201040,365,122,17347,64,,,,,,,0.703292,0.703292,42,2010/2011
2017-10-24,ri,201740,201040,365,15,6382,21,,,,,,,0.235036,0.235036,44,2010/2011
2017-10-24,sc,201740,201040,365,33,7397,25,,,,,,,0.446127,0.446127,45,2010/2011
2017-10-24,sd,201740,201040,365,63,5713,18,,,,,,,1.10275,1.10275,46,2010/2011
2017-10-24,tn,201740,201040,365,32,11651,52,,,,,,,0.274655,0.274655,47,2010/2011
2017-10-24,tx,201740,201040,365,1050,50844,98,,,,,,,2.06514,2.06514,48,2010/2011
2017-10-24,ut,201740,201040,365,43,5751,13,,,,,,,0.747696,0.747696,49,2010/2011
2017-10-24,va,201740,201040,365,660,57721,81,,,,,,,1.14343,1.14343,51,2010/2011
2017-10-24,vt,201740,201040,365,41,2777,10,,,,,,,1.47641,1.47641,50,2010/2011
2017-10-24,wa,201740,201040,365,16,3137,17,,,,,,,0.510041,0.510041,53,2010/2011
2017-10-24,wi,201740,201040,365,23,4946,44,,,,,,,0.465022,0.465022,55,2010/2011
2017-10-24,wv,201740,201040,365,143,8952,34,,,,,,,1.59741,1.59741,54,2010/2011
2017-10-24,wy,201740,201040,365,32,5056,28,,,,,,,0.632911,0.632911,56,2010/2011
2017-10-24,ak,201740,201041,364,19,1684,7,,,,,,,1.12827,1.12827,02,2010/2011
2017-10-24,al,201740,201041,364,239,11602,31,,,,,,,2.05999,2.05999,01,2010/2011
2017-10-24,ar,201740,201041,364,18,2670,14,,,,,,,0.674157,0.674157,05,2010/2011
2017-10-24,az,201740,201041,364,183,24402,49,,,,,,,0.749939,0.749939,04,2010/2011
2017-10-24,ca,201740,201041,364,742,34469,122,,,,,,,2.15266,2.15266,06,2010/2011
2017-10-24,co,201740,201041,364,115,18294,12,,,,,,,0.628621,0.628621,08,2010/2011
2017-10-24,ct,201740,201041,364,9,3780,15,,,,,,,0.238095,0.238095,09,2010/2011
2017-10-24,dc,201740,201041,364,81,2802,4,,,,,,,2.89079,2.89079,11,2010/2011
2017-10-24,de,201740,201041,364,15,4070,13,,,,,,,0.36855,0.36855,10,2010/2011
2017-10-24,ga,201740,201041,364,702,40979,63,,,,,,,1.71307,1.71307,13,2010/2011
2017-10-24,hi,201740,201041,364,32,1826,19,,,,,,,1.75246,1.75246,15,2010/2011
2017-10-24,ia,201740,201041,364,20,2323,7,,,,,,,0.860956,0.860956,19,2010/2011
2017-10-24,id,201740,201041,364,68,4664,12,,,,,,,1.45798,1.45798,16,2010/2011
